acctid,state,zip,rollout,cobal,collscr,cs,accessscr,lnacscr,bureauscr,eaglemod,numcalls,numrpcs,totalpay
1,CA,93313,Wells,1786,04013181,4,0.1992,-1.61,133,67,104,3,360
2,CA,92154,Wells,2048,01015805,1,0.4376,-0.83,109,6,233,6,300
3,FL,33319,Wells,5170,04013057,4,0.8140,-0.21,103,90,28,1,10
4,WA,98115,Bank_Of_Am,4506,08012265,8,0.2978,-1.21,136,11,8,2,2550
5,MI,49615,Associates,2706,03013630,3,0.3722,-0.99,105,42,45,11,2000
6,MD,20743,Associates,740,05012860,5,0.4153,-0.88,120,51,9,1,14
7,TN,37917,Discover,1578,03013468,3,0.8264,-0.19,126,67,82,1,368
8,CA,92628,Discover,5699,01019161,1,0.5225,-0.65,132,88,158,2,117
9,RI,02842,Bank_Of_Am,2099,01016315,1,0.7119,-0.34,123,33,37,6,865
10,NC,28543,Discover,1606,02013829,2,0.0265,-3.63,129,21,95,4,500
11,CA,93722,Wells,1413,08012311,8,0.9006,-0.1,130,88,21,1,30
12,MO,63031,Chase,2778,03013356,3,0.4958,-0.7,125,75,88,2,797
13,CA,94109,Discover,1859,04013066,4,0.6660,-0.41,137,77,64,1,1270
14,CA,94702,Bank_Of_Am,6650,09011960,9,0.4056,-0.9,146,31,32,20,2430
15,MD,20657,Discover,4524,08012288,8,0.2738,-1.3,130,63,13,2,3181
16,AZ,85006,Bank_Of_Am,2436,06012571,6,0.9181,-0.09,120,1,43,2,106
17,MS,39307,Associates,2661,02013804,2,0.3603,-1.02,113,8,120,1,218
18,GA,31419,Discover,1533,05012890,5,0.2812,-1.27,145,60,72,1,126
19,TX,79930,Discover,3747,10011461,10,0.9347,-0.07,135,91,48,7,337
20,NY,11212,Wells,4438,02013700,2,0.9514,-0.05,120,50,112,1,2900
21,CA,91792,Bank_Of_Am,6503,01019062,1,0.3312,-1.1,121,1,126,3,1250
22,SC,29412,Bank_Of_Am,6948,01018765,1,0.5915,-0.53,131,54,112,9,729
23,CA,94544,Wells,1547,04013152,4,0.5014,-0.69,120,32,59,7,260
24,MD,21136,Bank_Of_Am,4965,04923405,4,0.4038,-0.91,141,11,39,8,4212
25,NJ,07306,Chase,1447,04013047,4,0.9401,-0.06,140,9,13,1,559
26,NY,10567,Associates,2174,03013581,3,0.8175,-0.2,117,92,42,1,791
27,CA,90006,Wells,2138,01014966,1,0.5570,-0.59,116,9,7,2,540
28,CA,94066,Wells,2744,09012056,9,0.9148,-0.09,136,46,1,1,150
29,OK,73034,Discover,1533,06012588,6,0.4748,-0.74,112,86,19,1,1470
30,IL,60621,Discover,1915,01015078,1,0.7680,-0.26,98,12,81,1,1080
31,FL,32824,Discover,2714,01016007,1,0.8788,-0.13,126,62,19,3,330
32,WI,53213,Wells,2931,08012287,8,0.5669,-0.57,130,9,80,2,66
33,TN,37075,Discover,4554,04013068,4,0.4966,-0.7,103,32,77,3,1113
34,AK,99752,Bank_Of_Am,2927,02925563,2,0.3604,-1.02,99,82,187,18,170
35,OH,44708,Discover,5981,07012497,7,0.5855,-0.54,129,67,65,1,3140
36,MD,21215,Bank_Of_Am,2957,05012856,5,0.3988,-0.92,108,38,9,2,1700
37,CA,95632,Bank_Of_Am,10392,01015695,1,0.1117,-2.19,100,16,8,4,850
38,CO,80241,Discover,2984,02014175,2,0.7733,-0.26,102,76,72,2,538
39,WA,98233,Bank_Of_Am,702,01015651,1,0.8334,-0.18,111,40,27,14,615
40,NY,12086,Discover,1918,04013021,4,0.5354,-0.62,83,25,29,9,506
41,NY,13850,Discover,6059,01017370,1,0.0376,-3.28,140,81,69,1,2200
42,MO,64683,Associates,4076,09012046,9,0.3655,-1.01,108,25,32,1,625
43,IN,46158,Discover,1805,01017706,1,0.6565,-0.42,133,34,78,2,486
44,FL,32789,Chase_Rev,2777,02014731,2,0.9919,-0.01,86,30,192,4,150
45,LA,71461,Discover,1840,04013197,4,0.6355,-0.45,118,39,43,3,1236
46,OR,97540,Wells,762,02013685,2,0.2117,-1.55,133,82,81,1,270
47,CA,95831,Bank_Of_Am,4890,02014189,2,0.0839,-2.48,129,2,61,18,25
48,SC,29624,Discover,5926,08012207,8,0.2720,-1.3,138,5,88,3,270
49,CA,91205,Chase_Bony,2931,02013700,2,0.2713,-1.3,115,21,165,3,1250
50,TN,38485,Chase_Rev,3657,06012654,6,0.8307,-0.19,142,42,46,1,550
51,WA,99163,Chase_Bony,1721,06012768,6,0.5390,-0.62,146,13,15,2,1109
52,PA,17109,Wells,3825,03013470,3,0.1948,-1.64,102,66,88,1,2058
53,CA,91773,Wells,1339,06012661,6,0.5954,-0.52,107,77,18,1,800
54,HI,96778,Wells,3574,03013357,3,0.3616,-1.02,119,76,73,5,950
55,TN,37221,Discover,6667,09012127,9,0.8015,-0.22,139,66,46,2,1449
56,WA,98133,Discover,3820,09012109,9,0.8145,-0.21,133,97,39,2,3198
57,KS,66441,Associates,1203,04923117,4,0.6810,-0.38,127,56,18,2,250
58,CA,94010,Bank_Of_Am,516,05012827,5,0.4674,-0.76,136,14,110,1,35
59,OH,44203,Discover,1598,03013486,3,0.0880,-2.43,116,2,80,1,1560
60,FL,34420,Associates,5021,01019283,1,0.1371,-1.99,137,34,3,1,378
61,KY,41230,Associates,1205,01015551,1,0.7669,-0.27,94,62,56,5,100
62,TX,76006,Associates,1401,10011653,10,0.2034,-1.59,129,8,65,7,680
63,AZ,85711,Chase_Rev,4849,09012081,9,0.4938,-0.71,124,76,43,5,600
64,VA,23832,Chase_Rev,3331,04013209,4,0.3121,-1.16,141,94,241,3,61
65,TX,75042,Discover,3983,10011622,10,0.2197,-1.52,114,98,91,25,30
66,CA,95035,Wells,1771,03013431,3,0.5256,-0.64,99,18,13,4,1000
67,CA,95822,Wells,1955,01019486,1,0.2652,-1.33,109,55,70,6,740
68,AZ,85716,Wells_FIB,3523,01016119,1,0.5140,-0.67,118,26,54,13,1222
69,GA,30030,Discover,5690,02013846,2,0.4632,-0.77,103,88,142,1,300
70,NY,11215,Chase_Rev,5614,01016092,1,0.4017,-0.91,87,64,87,1,759
71,MI,48060,Discover,1992,01015405,1,0.9680,-0.03,106,91,118,3,726
72,TX,76522,Discover,1771,08012152,8,0.1758,-1.74,121,99,91,2,423
73,PA,19120,Associates,4296,01015211,1,0.7618,-0.27,143,92,107,1,70
74,TN,38008,Discover,3129,01014983,1,0.5238,-0.65,128,88,106,1,1008
75,CA,95116,Discover,1860,06012726,6,0.9597,-0.04,99,53,45,9,100
76,NC,28120,Associates,3921,01018023,1,0.0555,-2.89,131,33,97,2,1075
77,FL,33126,Discover,3225,03013486,3,0.1709,-1.77,126,60,123,9,1056
78,MI,48312,Bank_Of_Am,1062,06012569,6,0.4670,-0.76,111,67,218,2,1404
79,CA,92113,Wells,3180,01019363,1,0.6189,-0.48,116,17,30,2,1850
80,SC,29803,Discover,2034,08000000,8,0.3382,-1.08,122,99,195,1,282
81,NY,10039,Discover,3719,06012722,6,0.9246,-0.08,116,89,96,1,250
82,TX,75607,Chase,7033,08000000,8,0.9574,-0.04,134,64,97,4,1100
83,NC,28715,Chase,2746,02014591,2,0.6675,-0.4,123,22,21,1,3076
84,TX,77489,Wells,1753,09011966,9,0.1744,-1.75,123,47,114,13,40
85,MD,20770,Chase_Rev,5044,01016615,1,0.7217,-0.33,111,48,11,1,3283
86,KY,41230,Associates,3199,02014640,2,0.8054,-0.22,108,74,84,2,900
87,ME,04268,Chase,8588,07012353,7,0.4555,-0.79,87,55,4,1,962
88,MI,48895,Discover,4060,01016770,1,0.0467,-3.06,111,42,2,1,1000
89,CA,94928,Wells,985,05012771,5,0.5311,-0.63,110,92,215,5,347
90,CA,95336,Wells,2531,06012610,6,0.2429,-1.42,136,21,62,1,500
91,IL,60632,Discover,1709,03013515,3,0.0597,-2.82,134,75,43,7,230
92,CA,95501,Bank_Of_Am,964,01926517,1,0.9136,-0.09,117,77,15,2,314
93,OH,43201,Discover,2125,04013045,4,0.3425,-1.07,109,2,108,1,765
94,FL,32221,Discover,3821,06012729,6,0.5461,-0.6,116,63,30,2,450
95,MI,48074,Associates,6282,01015909,1,0.9410,-0.06,147,6,82,4,1813
96,OH,44232,Chase,1136,02014124,2,0.3613,-1.02,139,61,146,2,225
97,MS,39501,Discover,2720,07012461,7,0.8300,-0.19,117,92,23,11,1107
98,CT,06513,Chase,3400,04013279,4,0.7336,-0.31,119,4,42,3,1122
99,CA,91950,Associates,1404,10010184,10,0.9662,-0.03,98,37,7,1,198
100,FL,33931,Discover,3505,04013073,4,0.5665,-0.57,139,35,86,5,252
101,LA,70041,Discover,2672,04013157,4,0.4919,-0.71,92,56,50,3,300
102,NY,11226,Bank_Of_Am,2228,01015671,1,0.4728,-0.75,129,38,126,1,1300
103,IL,60194,Wells,4667,06012619,6,0.5542,-0.59,97,90,56,3,2727
104,LA,70665,Associates,2307,01928006,1,0.1754,-1.74,145,22,35,1,1584
105,CA,92051,Chase,753,08921618,8,0.5523,-0.59,108,11,13,4,454
106,NY,11003,Bank_Of_Am,8820,02014249,2,0.4529,-0.79,127,19,40,1,5054
107,FL,32937,Bank_Of_Am,9234,01018980,1,0.7260,-0.32,136,46,1,1,972
108,CA,91706,Bank_Of_Am,3006,01019276,1,0.2987,-1.21,134,72,6,1,1275
109,CA,95112,Bank_Of_Am,2435,09011929,9,0.4748,-0.74,119,95,1,1,520
110,IA,52208,Associates,1178,08000000,8,0.2779,-1.28,103,79,21,1,550
111,KS,66049,Discover,989,05012961,5,0.8799,-0.13,128,75,172,4,90
112,CA,92310,Discover,3178,10011832,10,0.3919,-0.94,94,43,36,3,337
113,MS,39356,Discover,4564,09011983,9,0.8641,-0.15,130,37,31,2,1095
114,MD,20774,Discover,6118,01015761,1,0.0499,-3,143,15,20,2,1997
115,WY,82073,Wells_FIB,9778,01014824,1,0.6106,-0.49,104,52,67,8,2289
116,TN,37869,Chase,3559,02013739,2,0.9668,-0.03,113,58,16,1,820
117,CA,93930,Associates,2706,08012331,8,0.0919,-2.39,125,55,35,3,110
118,CA,95380,Discover,1628,03013330,3,0.3708,-0.99,123,43,227,3,466
119,NY,10701,Wells,4632,05012836,5,0.3049,-1.19,128,40,93,9,88
120,WI,54751,Associates,1798,01015350,1,0.0259,-3.65,129,50,76,1,800
121,OR,97754,Bank_Of_Am,8338,09012019,9,0.7152,-0.34,139,16,5,3,25
122,FL,32304,Discover,2277,06012642,6,0.6788,-0.39,137,30,12,1,1257
123,OK,74820,Associates,2394,05012804,5,0.4963,-0.7,118,55,77,4,98
124,CA,93309,Wells,1128,05012770,5,0.6399,-0.45,102,68,76,1,23
125,MA,02494,Bank_Of_Am,670,01019311,1,0.2840,-1.26,148,42,197,5,139
126,IN,47371,Discover,3968,08012319,8,0.7504,-0.29,126,33,200,5,550
127,MS,38663,Wells,2484,01016357,1,0.7896,-0.24,131,96,45,3,25
128,PA,15213,Discover,935,08000000,8,0.0055,-5.2,113,53,189,3,157
129,NV,89433,Wells,2837,09012011,9,0.5071,-0.68,109,37,179,1,1591
