instant,season,mnth,holiday,weekday,workingday,weathersit,temp,hum,windspeed,count,abovecap
1,1,1,0,0,0,1,0.37,0.6925,0.192167,2294,0
2,1,1,1,1,0,1,0.273043,0.381304,0.329665,1951,0
3,1,1,0,2,1,1,0.15,0.44125,0.365671,2236,0
4,1,1,0,3,1,2,0.1075,0.414583,0.1847,2368,0
5,1,1,0,4,1,1,0.265833,0.524167,0.129987,3272,0
6,1,1,0,5,1,1,0.334167,0.542083,0.167908,4098,0
7,1,1,0,6,0,1,0.393333,0.531667,0.174758,4521,0
8,1,1,0,0,0,1,0.3375,0.465,0.191542,3425,0
9,1,1,0,1,1,2,0.224167,0.701667,0.0989,2376,0
10,1,1,0,2,1,1,0.308696,0.646522,0.187552,3598,0
11,1,1,0,3,1,2,0.274167,0.8475,0.131221,2177,0
12,1,1,0,4,1,2,0.3825,0.802917,0.180967,4097,0
13,1,1,0,5,1,1,0.274167,0.5075,0.378108,3214,0
14,1,1,0,6,0,1,0.18,0.4575,0.187183,2493,0
15,1,1,0,0,0,1,0.166667,0.419167,0.251258,2311,0
16,1,1,1,1,0,1,0.19,0.5225,0.231358,2298,0
17,1,1,0,2,1,2,0.373043,0.716087,0.34913,2935,0
18,1,1,0,3,1,1,0.303333,0.443333,0.415429,3376,0
19,1,1,0,4,1,1,0.19,0.4975,0.220158,3292,0
20,1,1,0,5,1,2,0.2175,0.45,0.20275,3163,0
21,1,1,0,6,0,2,0.173333,0.83125,0.222642,1301,0
22,1,1,0,0,0,2,0.1625,0.79625,0.199638,1977,0
23,1,1,0,1,1,2,0.218333,0.91125,0.110708,2432,0
24,1,1,0,2,1,1,0.3425,0.835833,0.123767,4339,0
25,1,1,0,3,1,1,0.294167,0.64375,0.161071,4270,0
26,1,1,0,4,1,2,0.341667,0.769583,0.0733958,4075,0
27,1,1,0,5,1,2,0.425,0.74125,0.342667,3456,0
28,1,1,0,6,0,1,0.315833,0.543333,0.210829,4023,0
29,1,1,0,0,0,1,0.2825,0.31125,0.24005,3243,0
30,1,1,0,1,1,1,0.269167,0.400833,0.215792,3624,0
31,1,1,0,2,1,1,0.39,0.416667,0.261817,4509,0
32,1,2,0,3,1,1,0.469167,0.507917,0.189067,4579,0
33,1,2,0,4,1,2,0.399167,0.672917,0.187187,3761,0
34,1,2,0,5,1,1,0.313333,0.526667,0.178496,4151,0
35,1,2,0,6,0,2,0.264167,0.779583,0.121896,2832,0
36,1,2,0,0,0,2,0.265833,0.687917,0.175996,2947,0
37,1,2,0,1,1,1,0.282609,0.622174,0.1538,3784,0
38,1,2,0,2,1,1,0.354167,0.49625,0.147379,4375,0
39,1,2,0,3,1,2,0.256667,0.722917,0.133721,2802,0
40,1,2,0,4,1,1,0.265,0.562083,0.194037,3830,0
41,1,2,0,5,1,2,0.280833,0.54,0.116929,3831,0
42,1,2,0,6,0,3,0.224167,0.73125,0.289796,2169,0
43,1,2,0,0,0,1,0.1275,0.464583,0.409212,1529,0
