instant,season,mnth,holiday,weekday,workingday,weathersit,temp,hum,windspeed,count
1,1,1,0,0,0,1,0.37,0.6925,0.192167,2294
2,1,1,1,1,0,1,0.273043,0.381304,0.329665,1951
3,1,1,0,2,1,1,0.15,0.44125,0.365671,2236
4,1,1,0,3,1,2,0.1075,0.414583,0.1847,2368
5,1,1,0,4,1,1,0.265833,0.524167,0.129987,3272
6,1,1,0,5,1,1,0.334167,0.542083,0.167908,4098
7,1,1,0,6,0,1,0.393333,0.531667,0.174758,4521
8,1,1,0,0,0,1,0.3375,0.465,0.191542,3425
9,1,1,0,1,1,2,0.224167,0.701667,0.0989,2376
10,1,1,0,2,1,1,0.308696,0.646522,0.187552,3598
11,1,1,0,3,1,2,0.274167,0.8475,0.131221,2177
12,1,1,0,4,1,2,0.3825,0.802917,0.180967,4097
13,1,1,0,5,1,1,0.274167,0.5075,0.378108,3214
14,1,1,0,6,0,1,0.18,0.4575,0.187183,2493
15,1,1,0,0,0,1,0.166667,0.419167,0.251258,2311
16,1,1,1,1,0,1,0.19,0.5225,0.231358,2298
17,1,1,0,2,1,2,0.373043,0.716087,0.34913,2935
18,1,1,0,3,1,1,0.303333,0.443333,0.415429,3376
19,1,1,0,4,1,1,0.19,0.4975,0.220158,3292
20,1,1,0,5,1,2,0.2175,0.45,0.20275,3163
21,1,1,0,6,0,2,0.173333,0.83125,0.222642,1301
22,1,1,0,0,0,2,0.1625,0.79625,0.199638,1977
23,1,1,0,1,1,2,0.218333,0.91125,0.110708,2432
24,1,1,0,2,1,1,0.3425,0.835833,0.123767,4339
25,1,1,0,3,1,1,0.294167,0.64375,0.161071,4270
26,1,1,0,4,1,2,0.341667,0.769583,0.0733958,4075
27,1,1,0,5,1,2,0.425,0.74125,0.342667,3456
28,1,1,0,6,0,1,0.315833,0.543333,0.210829,4023
29,1,1,0,0,0,1,0.2825,0.31125,0.24005,3243
30,1,1,0,1,1,1,0.269167,0.400833,0.215792,3624
31,1,1,0,2,1,1,0.39,0.416667,0.261817,4509
32,1,2,0,3,1,1,0.469167,0.507917,0.189067,4579
33,1,2,0,4,1,2,0.399167,0.672917,0.187187,3761
34,1,2,0,5,1,1,0.313333,0.526667,0.178496,4151
35,1,2,0,6,0,2,0.264167,0.779583,0.121896,2832
36,1,2,0,0,0,2,0.265833,0.687917,0.175996,2947
37,1,2,0,1,1,1,0.282609,0.622174,0.1538,3784
38,1,2,0,2,1,1,0.354167,0.49625,0.147379,4375
39,1,2,0,3,1,2,0.256667,0.722917,0.133721,2802
40,1,2,0,4,1,1,0.265,0.562083,0.194037,3830
41,1,2,0,5,1,2,0.280833,0.54,0.116929,3831
42,1,2,0,6,0,3,0.224167,0.73125,0.289796,2169
43,1,2,0,0,0,1,0.1275,0.464583,0.409212,1529
44,1,2,0,1,1,1,0.2225,0.41125,0.167283,3422
45,1,2,0,2,1,2,0.319167,0.50875,0.141179,3922
46,1,2,0,3,1,1,0.348333,0.53125,0.1816,4169
47,1,2,0,4,1,2,0.316667,0.752917,0.091425,3005
48,1,2,0,5,1,1,0.343333,0.634583,0.205846,4154
49,1,2,0,6,0,1,0.346667,0.534583,0.190929,4318
50,1,2,0,0,0,2,0.28,0.515833,0.253112,2689
51,1,2,1,1,0,1,0.28,0.507826,0.229083,3129
52,1,2,0,2,1,1,0.287826,0.594348,0.205717,3777
53,1,2,0,3,1,1,0.395833,0.567917,0.234471,4773
54,1,2,0,4,1,1,0.454167,0.554583,0.190913,5062
55,1,2,0,5,1,2,0.4075,0.7375,0.237567,3487
56,1,2,0,6,0,1,0.290833,0.395833,0.421642,2732
57,1,2,0,0,0,1,0.279167,0.41,0.205229,3389
58,1,2,0,1,1,1,0.366667,0.490833,0.268033,4322
59,1,2,0,2,1,1,0.359167,0.395833,0.193417,4363
60,1,2,0,3,1,2,0.344348,0.804783,0.179117,1834
61,1,3,0,4,1,1,0.485833,0.615417,0.226987,4990
62,1,3,0,5,1,2,0.353333,0.657083,0.144904,3194
63,1,3,0,6,0,2,0.414167,0.62125,0.161079,4066
64,1,3,0,0,0,1,0.325833,0.403333,0.334571,3423
65,1,3,0,1,1,1,0.243333,0.50625,0.228858,3333
66,1,3,0,2,1,1,0.258333,0.456667,0.200875,3956
67,1,3,0,3,1,1,0.404167,0.513333,0.345779,4916
68,1,3,0,4,1,1,0.5275,0.5675,0.441563,5382
69,1,3,0,5,1,2,0.410833,0.407083,0.4148,4569
70,1,3,0,6,0,1,0.2875,0.350417,0.22575,4118
71,1,3,0,0,0,1,0.361739,0.476957,0.222587,4911
72,1,3,0,1,1,1,0.466667,0.489167,0.207713,5298
73,1,3,0,2,1,1,0.565,0.6175,0.23695,5847
74,1,3,0,3,1,1,0.5725,0.507083,0.115062,6312
75,1,3,0,4,1,1,0.5575,0.579583,0.149883,6192
76,1,3,0,5,1,2,0.435833,0.842083,0.113192,4378
77,1,3,0,6,0,2,0.514167,0.755833,0.110704,7836
78,1,3,0,0,0,2,0.4725,0.81,0.126883,5892
79,1,3,0,1,1,1,0.545,0.72875,0.162317,6153
80,1,3,0,2,1,1,0.560833,0.807917,0.121271,6093
81,2,3,0,3,1,2,0.531667,0.82125,0.0895583,6230
82,2,3,0,4,1,1,0.554167,0.83125,0.117562,6871
83,2,3,0,5,1,2,0.601667,0.694167,0.1163,8362
84,2,3,0,6,0,2,0.5025,0.885417,0.192783,3372
85,2,3,0,0,0,2,0.4375,0.880833,0.220775,4996
86,2,3,0,1,1,1,0.445833,0.477917,0.386821,5558
87,2,3,0,2,1,1,0.323333,0.29,0.187192,5102
88,2,3,0,3,1,1,0.484167,0.48125,0.291671,5698
89,2,3,0,4,1,1,0.494167,0.439167,0.31965,6133
90,2,3,0,5,1,2,0.37,0.580833,0.138067,5459
